Counter,ICD-10 code,WHO update 1=Add 2=Del,ICD-10 code descriptor,ICD-10-AM Map,Aust update 1=Add 2=Del,Additive Map (+),ICD-10-AM code descriptor
1,A00.0,,"Cholera due to Vibrio cholerae 01, biovar cholerae",A00.0,,,"Cholera due to Vibrio cholerae 01, biovar cholerae"
2,A00.1,,"Cholera due to Vibrio cholerae 01, biovar eltor",A00.1,,,"Cholera due to Vibrio cholerae 01, biovar eltor"
3,A00.9,,"Cholera, unspecified",A00.9,,,"Cholera, unspecified"
4,A01.0,,Typhoid fever,A01.0,,,Typhoid fever
5,A01.1,,Paratyphoid fever A,A01.1,,,Paratyphoid fever A
6,A01.2,,Paratyphoid fever B,A01.2,,,Paratyphoid fever B
7,A01.3,,Paratyphoid fever C,A01.3,,,Paratyphoid fever C
8,A01.4,,"Paratyphoid fever, unspecified",A01.4,,,"Paratyphoid fever, unspecified"
9,A02.0,,Salmonella enteritis,A02.0,,,Salmonella enteritis
10,A02.1,,Salmonella sepsis,A02.1,,,Salmonella sepsis
11,A02.2,,Localised salmonella infections,A02.2,,,Localised salmonella infections
12,A02.8,,Other specified salmonella infections,A02.8,,,Other specified salmonella infections
13,A02.9,,"Salmonella infection, unspecified",A02.9,,,"Salmonella infection, unspecified"
14,A03.0,,Shigellosis due to Shigella dysenteriae,A03.0,,,Shigellosis due to Shigella dysenteriae
15,A03.1,,Shigellosis due to Shigella flexneri,A03.1,,,Shigellosis due to Shigella flexneri
16,A03.2,,Shigellosis due to Shigella boydii,A03.2,,,Shigellosis due to Shigella boydii
17,A03.3,,Shigellosis due to Shigella sonnei,A03.3,,,Shigellosis due to Shigella sonnei
18,A03.8,,Other shigellosis,A03.8,,,Other shigellosis
19,A03.9,,"Shigellosis, unspecified",A03.9,,,"Shigellosis, unspecified"
20,A04.0,,Enteropathogenic Escherichia coli infection,A04.0,,,Enteropathogenic Escherichia coli infection
21,A04.1,,Enterotoxigenic Escherichia coli infection,A04.1,,,Enterotoxigenic Escherichia coli infection
22,A04.2,,Enteroinvasive Escherichia coli infection,A04.2,,,Enteroinvasive Escherichia coli infection
23,A04.3,,Enterohaemorrhagic Escherichia coli infection,A04.3,,,Enterohaemorrhagic Escherichia coli infection
24,A04.4,,Other intestinal Escherichia coli infection,A04.4,,,Other intestinal Escherichia coli infection
25,A04.5,,Campylobacter enteritis,A04.5,,,Campylobacter enteritis
26,A04.6,,Enteritis due to Yersinia enterocolitica,A04.6,,,Enteritis due to Yersinia enterocolitica
27,A04.7,,Enterocolitis due to Clostridium difficile,A04.7,,,Enterocolitis due to Clostridium difficile
28,A04.8,,Other specified bacterial intestinal infection,A04.8,,,Other specified bacterial intestinal infection
29,A04.9,,"Bacterial intestinal infection, unspecified",A04.9,,,"Bacterial intestinal infection, unspecified"
30,A05.0,,Foodborne staphylococcal intoxication,A05.0,,,Food-borne staphylococcal intoxication
31,A05.1,,Botulism,A05.1,,,Botulism
32,A05.2,,Foodborne Clostridium perfringens [Clostridium welchii] intoxication,A05.2,,,Food-borne Clostridium perfringens [Clostridium welchii] intoxication
33,A05.3,,Foodborne Vibrio parahaemolyticus intoxication,A05.3,,,Food-borne Vibrio parahaemolyticus intoxication
34,A05.4,,Foodborne Bacillus cereus intoxication,A05.4,,,Food-borne Bacillus cereus intoxication
35,A05.8,,Other specified bacterial foodborne intoxications,A05.8,,,Other specified bacterial food-borne intoxications
36,A05.9,,"Bacterial foodborne intoxication, unspecified",A05.9,,,"Bacterial food-borne intoxication, unspecified"
37,A06.0,,Acute amoebic dysentery,A06.0,,,Acute amoebic dysentery
38,A06.1,,Chronic intestinal amoebiasis,A06.1,,,Chronic intestinal amoebiasis
39,A06.2,,Amoebic nondysenteric colitis,A06.2,,,Amoebic nondysenteric colitis
40,A06.3,,Amoeboma of intestine,A06.3,,,Amoeboma of intestine
41,A06.4,,Amoebic liver abscess (K77.0*),A06.4,,,Amoebic liver abscess
