"Counter","ICD-10 code","WHO update 1=Add 2=Del","ICD-10 code descriptor","ICD-10-AM Map","Aust update 1=Add 2=Del","Additive Map (+)","ICD-10-AM code descriptor"
1,"W00",,"Fall on same level involving ice and snow","W00",,,"Fall on same level involving ice and snow"
2,"W01",,"Fall on same level from slipping, tripping and stumbling","W01.0",,,"Fall on same level from slipping"
3,"W01",,"Fall on same level from slipping, tripping and stumbling","W01.1",,,"Fall on same level from tripping"
4,"W01",,"Fall on same level from slipping, tripping and stumbling","W01.2",,,"Fall on same level from stumbling"
5,"W02",,"Fall involving ice-skates, skis, roller-skates or skateboards","W02.9",,,"Fall involving other and unspecified pedestrian conveyance"
6,"W02",,"Fall involving ice-skates, skis, roller-skates or skateboards","W02.0",,,"Fall involving roller-skates"
7,"W02",,"Fall involving ice-skates, skis, roller-skates or skateboards","W02.1",,,"Fall involving skateboard"
8,"W02",,"Fall involving ice-skates, skis, roller-skates or skateboards","W02.2",,,"Fall involving water ski"
9,"W02",,"Fall involving ice-skates, skis, roller-skates or skateboards","W02.3",,,"Fall involving snow ski"
10,"W02",,"Fall involving ice-skates, skis, roller-skates or skateboards","W02.4",,,"Fall involving snow board"
11,"W02",,"Fall involving ice-skates, skis, roller-skates or skateboards","W02.5",,,"Fall involving ice-skates"
12,"W02",,"Fall involving ice-skates, skis, roller-skates or skateboards","W02.6",,,"Fall involving scooter, nonpowered"
13,"W02",,"Fall involving ice-skates, skis, roller-skates or skateboards","W02.7",,,"Fall involving baby carriage"
14,"W02",,"Fall involving ice-skates, skis, roller-skates or skateboards","W02.8",,,"Fall involving baby walker"
15,"W03",,"Other fall on same level due to collision with, or pushing by, another person","W03",,,"Other fall on same level due to collision with, or pushing by, another person"
16,"W04",,"Fall while being carried or supported by other persons","W04",,,"Fall while being carried or supported by other persons"
17,"W05",,"Fall involving wheelchair","W05",,,"Fall involving wheelchair"
18,"W06",,"Fall involving bed","W06.9",,,"Fall involving unspecified bed"
19,"W06",,"Fall involving bed","W06.8",,,"Fall involving other specified bed"
20,"W06",,"Fall involving bed","W06.0",,,"Fall involving bunk bed"
21,"W06",,"Fall involving bed","W06.1",,,"Fall involving special purpose bed"
22,"W06",,"Fall involving bed","W06.2",,,"Fall involving cot"
23,"W06",,"Fall involving bed","W06.3",,,"Fall involving bassinet"
24,"W06",,"Fall involving bed","W06.4",,,"Fall involving cradle"
25,"W06",,"Fall involving bed","W06.5",,,"Fall involving hammock"
26,"W06",,"Fall involving bed","W06.6",,,"Fall involving conventional bed"
27,"W07",,"Fall involving chair","W07.9",,,"Fall involving unspecified chair"
28,"W07",,"Fall involving chair","W07.8",,,"Fall involving other specified chair"
29,"W07",,"Fall involving chair","W07.0",,,"Fall involving rocking chair"
30,"W07",,"Fall involving chair","W07.1",,,"Fall involving folding chair"
31,"W07",,"Fall involving chair","W07.2",,,"Fall involving revolving chair"
32,"W07",,"Fall involving chair","W07.3",,,"Fall involving stool"
33,"W07",,"Fall involving chair","W07.4",,,"Fall involving high-chair"
34,"W07",,"Fall involving chair","W07.5",,,"Fall involving bath chair"
35,"W07",,"Fall involving chair","W07.6",,,"Fall involving commode chair"
36,"W07",,"Fall involving chair","W07.7",,,"Fall involving lift assistance chair"
37,"W08",,"Fall involving other furniture","W08.9",,,"Fall involving unspecified furniture"
38,"W08",,"Fall involving other furniture","W08.8",,,"Fall involving other specified furniture"
39,"W08",,"Fall involving other furniture","W08.0",,,"Fall involving baby change table"
40,"W08",,"Fall involving other furniture","W08.1",,,"Fall involving baby exerciser"
41,"W08",,"Fall involving other furniture","W08.2",,,"Fall involving table"
42,"W09",,"Fall involving playground equipment","W09.9",,,"Fall involving unspecified playground equipment"
43,"W09",,"Fall involving playground equipment","W09.8",,,"Fall involving other specified playground equipment"
44,"W09",,"Fall involving playground equipment","W09.0",,,"Fall involving tree house"
45,"W09",,"Fall involving playground equipment","W09.1",,,"Fall involving flying fox"
46,"W09",,"Fall involving playground equipment","W09.2",,,"Fall involving playground climbing apparatus"
