"id","ICD-9 code","ICD-9 code descriptor","ICD-10 Code","ICD-10 descriptor","Created at","Updated at"
"1","V468","Machine dependence NEC","Z9989","Dependence on other enabling machines","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"2","V469","Machine dependence NOS","Z9989","Unspecified machine dependence","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"3","V462","Depend-supplement oxygen","Z9981","Other dependence on machines, supplemental oxygen","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"4","V463","Wheelchair dependence","Z993","Wheelchair dependence","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"5","V4511","Renal dialysis status","Z992","Renal dialysis status","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"6","V4612","Resp depend-powr failure","Z9912","Encounter for respirator dependence during power failure","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"7","V4611","Respirator depend status","Z9911","Dependence on respirator, status","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"8","V460","Dependence on aspirator","Z990","Dependence on aspirator","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"9","V1522","Hx in utero proc fetus","Z98871","Personal history of undergoing in utero procedure while a fetus","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"10","V1521","Hx in utero proc in preg","Z98870","Personal history of undergoing in utero procedure during pregnancy","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"11","V4583","Breast impl remov status","Z9886","Breast implant removal status","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"12","V4587","Trnsplnt orgn rem status","Z9885","Transplanted organ removal status","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"13","V4586","Bariatric surgery status","Z9884","Bariatric surgery status","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"14","V4569","Post-proc st eye/adn NEC","Z9883","Other states following surgery of eye and adnexa","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"15","V4382","Breast replacement","Z9882","Breast replacement","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"16","V4982","Dental sealant status","Z98810","Dental sealant status","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"17","V2652","Vasectomy status","Z9852","Vasectomy status","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"18","V2651","Tubal ligation status","Z9851","Tubal ligation status","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"19","V4561","Cataract extract status","Z9841","Cataract extraction status","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"20","V452","Ventricular shunt status","Z982","Presence of cerebrospinal fluid drainage device","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"21","V453","Intestinal bypass status","Z980","Intestinal bypass or anastomosis status","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"22","V4589","Post-proc states NEC","Z978","Other postprocedural status","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"23","V4551","Prsc ntrutr cntrcptv dvc","Z975","Presence of intrauterine contraceptive device","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"24","V4559","Prsc other cntrcptv dvc","Z975","Presence of other contraceptive device","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"25","V412","Problems with hearing","Z974","Problems with hearing","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"26","V4584","Dental restoratn status","Z972","Dental restoration status","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"27","V437","Limb replacement NEC","Z9710","Limb replaced by other means","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"28","V430","Eye replacement NEC","Z970","Eye globe replaced by other means","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"29","V4383","Artific skin repl status","Z9681","Artificial skin replacement","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"30","V4369","Oth spcf joint replaced","Z96691","Other joint replacement","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"31","V4366","Joint replaced ankle","Z96661","Ankle joint replacement","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"32","V4365","Joint replaced knee","Z96651","Knee joint replacement","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"33","V4364","Joint replaced hip","Z96641","Hip joint replacement","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"34","V4363","Joint replaced wrist","Z96631","Wrist joint replacement","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
"35","V4362","Joint replaced elbow","Z96621","Elbow joint replacement","2020-10-14T04:48:06.000000Z","2020-10-14T04:48:06.000000Z"
